case,k_pi,nh_from,nh_to,eta,delta_E,delta_Z,spectral_l1,rest_spectral_l1,recursion_l1,reference_certified
B,0.0,10,12,0.05,1.4093136879722579e-08,7.900552578821163e-08,0.0684120496873263,0.2571788730056821,0.00022745183210571502,False
B,0.0,10,12,0.025,1.4093136879722579e-08,7.900552578821163e-08,0.15178546260700304,0.5755459103554549,0.0027011537936584467,False
B,0.0,10,12,0.1,1.4093136879722579e-08,7.900552578821163e-08,0.016809457043825273,0.062103039444205456,2.097859108248072e-06,False
B,0.0,10,12,0.2,1.4093136879722579e-08,7.900552578821163e-08,0.0020129270570253023,0.007190170408728575,2.7507339579888074e-10,False
B,0.0,12,14,0.05,2.121485209727325e-10,1.4714219842559828e-09,0.045765201743878874,0.1720460435649564,0.0004116257123204596,False
B,0.0,12,14,0.025,2.121485209727325e-10,1.4714219842559828e-09,0.1192665471530785,0.45224800342268007,0.0041244239404829375,False
B,0.0,12,14,0.1,2.121485209727325e-10,1.4714219842559828e-09,0.008381535264556882,0.030966159989702688,5.789343848310959e-06,False
B,0.0,12,14,0.2,2.121485209727325e-10,1.4714219842559828e-09,0.0006164455823557956,0.0022019154453681135,1.880459744924893e-09,True
B,0.0,14,16,0.05,3.282707439211663e-12,2.7173152616910556e-11,0.03213370508104592,0.1208010650776684,1.2438702209479114e-05,False
B,0.0,14,16,0.025,3.282707439211663e-12,2.7173152616910556e-11,0.0975272354051979,0.36981482027974105,0.0005997662131521615,False
B,0.0,14,16,0.1,3.282707439211663e-12,2.7173152616910556e-11,0.004397647678781355,0.016247438770344493,8.396291108956129e-09,False
B,0.0,14,16,0.2,3.282707439211663e-12,2.7173152616910556e-11,0.00020447834495650028,0.0007303871048352199,1.0151836290115881e-14,True
B,0.0,16,18,0.05,3.68594044175552e-14,5.241362899255364e-13,0.02358271509060861,0.08865501293929702,2.1569346804171413e-05,False
B,0.0,16,18,0.025,3.68594044175552e-14,5.241362899255364e-13,0.08287840471313757,0.314267186675421,0.0008162277096849697,False
B,0.0,16,18,0.1,3.68594044175552e-14,5.241362899255364e-13,0.0024402971630875033,0.009015855886038749,2.4345028578038103e-08,False
B,0.0,16,18,0.2,3.68594044175552e-14,5.241362899255364e-13,7.163750893704162e-05,0.0002558857949210928,6.786445921313069e-14,True
B,0.0,18,20,0.05,5.10702591327572e-14,8.01581023779363e-14,0.017253207451267707,0.06486032487656078,4.924649740033562e-07,False
B,0.0,18,20,0.025,5.10702591327572e-14,8.01581023779363e-14,0.07012674493037946,0.2659139173246615,0.00010815377599490046,False
